 |14|山西省|省|
14|1411|吕梁市|市|
1411|141182|汾阳市|县|
1411|141122|交城县|县|
1411|141130|交口县|县|
1411|141127|岚县|县|
1411|141124|临县|县|
1411|141125|柳林县|县|
1411|141126|石楼县|县|
1411|141121|文水县|县|
1411|141181|孝义市|县|
1411|141123|兴县|县|
1411|141129|中阳县|县|
141128|141128001|马坊镇|乡|
141128|141128002|积翠乡|乡|
141128|141128003|麻地会乡|乡|
141128|141128004|圪洞镇|乡|
141128|141128005|峪口镇|乡|
141128|141128006|北武当镇|乡|
141128|141128007|大武镇|乡|
141182|141182001|峪道河镇|乡|
141182|141182002|杏花村镇|乡|
141182|141182003|冀村镇|乡|
141182|141182004|石庄镇|乡|
141182|141182005|杨家庄镇|乡|
141182|141182006|栗家庄乡|乡|
141182|141182007|西河乡|乡|
141182|141182008|文峰办事处|乡|
141182|141182009|太和桥办事处|乡|
141182|141182010|贾家庄镇|乡|
141182|141182011|肖家庄镇|乡|
141182|141182012|三泉镇|乡|
141182|141182013|阳城乡|乡|
141182|141182014|演武镇|乡|
141122|141122001|庞泉沟镇|乡|
141122|141122002|东坡底乡|乡|
141122|141122003|会立乡|乡|
141122|141122004|水峪贯镇|乡|
141122|141122005|西社镇|乡|
141122|141122006|洪相乡|乡|
141122|141122007|岭底乡|乡|
141122|141122008|夏家营镇|乡|
141122|141122009|天宁镇|乡|
141122|141122010|西营镇|乡|
141130|141130001|温泉乡|乡|
141130|141130002|桃红坡镇|乡|
141130|141130003|水头镇|乡|
141130|141130004|双池镇|乡|
141130|141130005|石口乡|乡|
141130|141130006|回龙乡|乡|
141130|141130007|康城镇|乡|
141127|141127001|顺会乡|乡|
141127|141127002|大蛇头乡|乡|
141127|141127003|社科乡|乡|
141127|141127004|界河口镇|乡|
141127|141127005|梁家庄乡|乡|
141127|141127006|王狮乡|乡|
141127|141127007|普明镇|乡|
141127|141127008|东村镇|乡|
141127|141127009|岚城镇|乡|
141127|141127010|河口乡|乡|
141127|141127011|上明乡|乡|
141127|141127012|土峪乡|乡|
141124|141124001|八堡乡|乡|
141124|141124002|雷家碛乡|乡|
141124|141124003|青凉寺乡|乡|
141124|141124004|白文镇|乡|
141124|141124005|城庄镇|乡|
141124|141124006|克虎镇|乡|
141124|141124007|兔坂镇|乡|
141124|141124008|临泉镇|乡|
141124|141124009|曲峪镇|乡|
141124|141124010|石白头乡|乡|
141124|141124011|安家庄乡|乡|
141124|141124012|安业乡|乡|
141124|141124013|木瓜坪乡|乡|
141124|141124014|玉坪乡|乡|
141124|141124015|丛罗峪镇|乡|
141124|141124016|刘家会镇|乡|
141124|141124017|大禹乡|乡|
141124|141124018|三交镇|乡|
141124|141124019|车赶乡|乡|
141124|141124020|湍水头镇|乡|
141124|141124021|碛口镇|乡|
141124|141124022|林家坪镇|乡|
141124|141124023|招贤镇|乡|
141125|141125001|王家沟乡|乡|
141125|141125002|孟门镇|乡|
141125|141125003|成家庄镇|乡|
141125|141125004|贾家垣乡|乡|
141125|141125005|柳林镇|乡|
141125|141125006|李家湾乡|乡|
141125|141125007|石西乡|乡|
141125|141125008|薛村镇|乡|
141125|141125009|穆村镇|乡|
141125|141125010|高家沟乡|乡|
141125|141125011|庄上镇|乡|
141125|141125012|陈家湾乡|乡|
141125|141125013|金家庄乡|乡|
141125|141125014|三交镇|乡|
141125|141125015|留誉镇|乡|
141126|141126001|曹家垣乡|乡|
141126|141126002|裴沟乡|乡|
141126|141126003|小蒜镇|乡|
141126|141126004|义牒镇|乡|
141126|141126005|龙交乡|乡|
141126|141126006|前山乡|乡|
141126|141126007|灵泉镇|乡|
141126|141126008|罗村镇|乡|
141126|141126009|和合乡|乡|
141121|141121001|开栅镇|乡|
141121|141121002|西城乡|乡|
141121|141121003|南庄镇|乡|
141121|141121004|南安镇|乡|
141121|141121005|凤城镇|乡|
141121|141121006|南武乡|乡|
141121|141121007|刘胡兰镇|乡|
141121|141121008|马西乡|乡|
141121|141121009|孝义镇|乡|
141121|141121010|北张乡|乡|
141121|141121011|下曲镇|乡|
141121|141121012|西槽头乡|乡|
141181|141181001|杜村乡|乡|
141181|141181002|南阳乡|乡|
141181|141181003|下堡镇|乡|
141181|141181004|兑镇镇|乡|
141181|141181005|高阳镇|乡|
141181|141181006|新义办|乡|
141181|141181007|中阳楼办|乡|
141181|141181008|振兴办|乡|
141181|141181009|阳泉曲镇|乡|
141181|141181010|西辛庄镇|乡|
141181|141181011|柱濮镇|乡|
141181|141181012|驿马乡|乡|
141181|141181013|东许办|乡|
141181|141181014|梧桐镇|乡|
141181|141181015|下栅乡|乡|
141181|141181016|大孝堡乡|乡|
141181|141181017|胜溪湖街道办事处|乡|
141181|141181018|崇文街道办事处|乡|
141123|141123001|瓦塘镇|乡|
141123|141123002|魏家滩镇|乡|
141123|141123003|高家村镇|乡|
141123|141123004|蔡家崖乡|乡|
141123|141123005|蔚汾镇|乡|
141123|141123006|奥家湾乡|乡|
141123|141123007|恶虎滩乡|乡|
141123|141123008|交楼申乡|乡|
141123|141123009|罗峪口镇|乡|
141123|141123010|赵家坪乡|乡|
141123|141123011|孟家坪乡|乡|
141123|141123012|康宁镇|乡|
141123|141123013|固贤乡|乡|
141123|141123014|东会乡|乡|
141123|141123015|圪达上乡|乡|
141123|141123016|蔡家会镇|乡|
141123|141123017|贺家会乡|乡|
141129|141129001|金罗镇|乡|
141129|141129002|张子山乡|乡|
141129|141129003|下枣林乡|乡|
141129|141129004|宁乡镇|乡|
141129|141129005|枝柯镇|乡|
141129|141129006|武家庄镇|乡|
141129|141129007|暖泉镇|乡|
141128001|141128001001|辉回|村|
141128001|141128001002|西沟|村|
141128001|141128001003|赤坚岭|村|
141128001|141128001004|代坡|村|
141128001|141128001005|杨家沟|村|
141128001|141128001006|麻峪|村|
141128001|141128001007|吴家沟|村|
141128001|141128001008|条则墕|村|
141128001|141128001009|同堡|村|
141128001|141128001010|李家湾|村|
141128001|141128001011|窑上|村|
141128001|141128001012|落辉|村|
141128001|141128001013|油房沟|村|
141128001|141128001014|红崖湾|村|
141128001|141128001015|开府|村|
141128001|141128001016|里其|村|
141128001|141128001017|陈家湾|村|
141128001|141128001018|王家湾|村|
141128001|141128001019|磨地湾|村|
141128001|141128001020|神堂沟|村|
141128001|141128001021|马坊|村|
141128001|141128001022|树林则|村|
141128001|141128001023|高明|村|
141128001|141128001024|庄则上|村|
141128001|141128001025|四皓|村|
141128001|141128001026|龙泉|村|
141128001|141128001027|赤街|村|
141128001|141128001028|温家庄|村|
141128001|141128001029|赤街会|村|
141128001|141128001030|杨家坪|村|
141128001|141128001031|周家沟|村|
141128002|141128002001|赤红|村|
141128002|141128002002|代咀|村|
141128002|141128002003|积翠|村|
141128002|141128002004|水神沟|村|
141128002|141128002005|卧龙潭|村|
141128002|141128002006|孔家庄|村|
141128002|141128002007|南虎滩|村|
141128002|141128002008|方山|村|
141128002|141128002009|莴苣沟|村|
141128002|141128002010|凤翼|村|
141128002|141128002011|东王|村|
141128002|141128002012|邦罗|村|
