 |14|山西省| |省| |SHENG| |101|0|2
14|1411|吕梁市| |市| |SHI| |102|0|4
1411|141128|方山县| |县| |XIAN| |103|0|6
1411|141182|汾阳市| |县| |XIAN| |103|0|6
1411|141122|交城县| |县| |XIAN| |103|0|6
1411|141130|交口县| |县| |XIAN| |103|0|6
1411|141127|岚县| |县| |XIAN| |103|0|6
1411|141124|临县| |县| |XIAN| |103|0|6
1411|141125|柳林县| |县| |XIAN| |103|0|6
1411|141126|石楼县| |县| |XIAN| |103|0|6
1411|141121|文水县| |县| |XIAN| |103|0|6
1411|141181|孝义市| |县| |XIAN| |103|0|6
1411|141123|兴县| |县| |XIAN| |103|0|6
1411|141129|中阳县| |县| |XIAN| |103|0|6
141128|141128001|马坊镇| |乡| |XIANG| |104|0|9
141128|141128002|积翠乡| |乡| |XIANG| |104|0|9
141128|141128003|麻地会乡| |乡| |XIANG| |104|0|9
141128|141128004|圪洞镇| |乡| |XIANG| |104|0|9
141128|141128005|峪口镇| |乡| |XIANG| |104|0|9
141128|141128006|北武当镇| |乡| |XIANG| |104|0|9
141128|141128007|大武镇| |乡| |XIANG| |104|0|9
141182|141182001|峪道河镇| |乡| |XIANG| |104|0|9
141182|141182002|杏花村镇| |乡| |XIANG| |104|0|9
141182|141182003|冀村镇| |乡| |XIANG| |104|0|9
141182|141182004|石庄镇| |乡| |XIANG| |104|0|9
141182|141182005|杨家庄镇| |乡| |XIANG| |104|0|9
141182|141182006|栗家庄乡| |乡| |XIANG| |104|0|9
141182|141182007|西河乡| |乡| |XIANG| |104|0|9
141182|141182008|文峰办事处| |乡| |XIANG| |104|0|9
141182|141182009|太和桥办事处| |乡| |XIANG| |104|0|9
141182|141182010|贾家庄镇| |乡| |XIANG| |104|0|9
141182|141182011|肖家庄镇| |乡| |XIANG| |104|0|9
141182|141182012|三泉镇| |乡| |XIANG| |104|0|9
141182|141182013|阳城乡| |乡| |XIANG| |104|0|9
141182|141182014|演武镇| |乡| |XIANG| |104|0|9
141122|141122001|庞泉沟镇| |乡| |XIANG| |104|0|9
141122|141122002|东坡底乡| |乡| |XIANG| |104|0|9
141122|141122003|会立乡| |乡| |XIANG| |104|0|9
141122|141122004|水峪贯镇| |乡| |XIANG| |104|0|9
141122|141122005|西社镇| |乡| |XIANG| |104|0|9
141122|141122006|洪相乡| |乡| |XIANG| |104|0|9
141122|141122007|岭底乡| |乡| |XIANG| |104|0|9
141122|141122008|夏家营镇| |乡| |XIANG| |104|0|9
141122|141122009|天宁镇| |乡| |XIANG| |104|0|9
141122|141122010|西营镇| |乡| |XIANG| |104|0|9
141130|141130001|温泉乡| |乡| |XIANG| |104|0|9
141130|141130002|桃红坡镇| |乡| |XIANG| |104|0|9
141130|141130003|水头镇| |乡| |XIANG| |104|0|9
141130|141130004|双池镇| |乡| |XIANG| |104|0|9
141130|141130005|石口乡| |乡| |XIANG| |104|0|9
141130|141130006|回龙乡| |乡| |XIANG| |104|0|9
141130|141130007|康城镇| |乡| |XIANG| |104|0|9
141127|141127001|顺会乡| |乡| |XIANG| |104|0|9
141127|141127002|大蛇头乡| |乡| |XIANG| |104|0|9
141127|141127003|社科乡| |乡| |XIANG| |104|0|9
141127|141127004|界河口镇| |乡| |XIANG| |104|0|9
141127|141127005|梁家庄乡| |乡| |XIANG| |104|0|9
141127|141127006|王狮乡| |乡| |XIANG| |104|0|9
141127|141127007|普明镇| |乡| |XIANG| |104|0|9
141127|141127008|东村镇| |乡| |XIANG| |104|0|9
141127|141127009|岚城镇| |乡| |XIANG| |104|0|9
141127|141127010|河口乡| |乡| |XIANG| |104|0|9
141127|141127011|上明乡| |乡| |XIANG| |104|0|9
141127|141127012|土峪乡| |乡| |XIANG| |104|0|9
141124|141124001|八堡乡| |乡| |XIANG| |104|0|9
141124|141124002|雷家碛乡| |乡| |XIANG| |104|0|9
141124|141124003|青凉寺乡| |乡| |XIANG| |104|0|9
