 |45|广西壮族自治区| |省| |SHENG| |101|0|2
45|4501|南宁市| |市| |SHI| |102|0|4
45|4502|柳州市| |市| |SHI| |102|0|4
45|4503|桂林市| |市| |SHI| |102|0|4
45|4504|梧州市| |市| |SHI| |102|0|4
45|4505|北海市| |市| |SHI| |102|0|4
45|4506|防城港市| |市| |SHI| |102|0|4
45|4507|钦州市| |市| |SHI| |102|0|4
45|4508|贵港市| |市| |SHI| |102|0|4
45|4509|玉林市| |市| |SHI| |102|0|4
45|4510|百色市| |市| |SHI| |102|0|4
45|4511|贺州市| |市| |SHI| |102|0|4
45|4512|河池市| |市| |SHI| |102|0|4
45|4513|来宾市| |市| |SHI| |102|0|4
45|4514|崇左市| |市| |SHI| |102|0|4
4501|450102|兴宁区| |县| |XIAN| |103|0|6
4501|450103|青秀区| |县| |XIAN| |103|0|6
4501|450105|江南区| |县| |XIAN| |103|0|6
4501|450107|西乡塘区| |县| |XIAN| |103|0|6
4501|450108|良庆区| |县| |XIAN| |103|0|6
4501|450109|邕宁区| |县| |XIAN| |103|0|6
4501|450122|武鸣县| |县| |XIAN| |103|0|6
4501|450123|隆安县| |县| |XIAN| |103|0|6
4501|450124|马山县| |县| |XIAN| |103|0|6
4501|450125|上林县| |县| |XIAN| |103|0|6
4501|450126|宾阳县| |县| |XIAN| |103|0|6
4501|450127|横县| |县| |XIAN| |103|0|6
4502|450202|城中区| |县| |XIAN| |103|0|6
4502|450203|鱼峰区| |县| |XIAN| |103|0|6
4502|450204|柳南区| |县| |XIAN| |103|0|6
4502|450205|柳北区| |县| |XIAN| |103|0|6
4502|450221|柳江县| |县| |XIAN| |103|0|6
4502|450222|柳城县| |县| |XIAN| |103|0|6
4502|450223|鹿寨县| |县| |XIAN| |103|0|6
4502|450224|融安县| |县| |XIAN| |103|0|6
4502|450225|融水县| |县| |XIAN| |103|0|6
4502|450226|三江县| |县| |XIAN| |103|0|6
4503|450301|四城区| |县| |XIAN| |103|0|6
4503|450311|雁山区| |县| |XIAN| |103|0|6
4503|450321|阳朔县| |县| |XIAN| |103|0|6
4503|450322|临桂县| |县| |XIAN| |103|0|6
4503|450323|灵川县| |县| |XIAN| |103|0|6
4503|450324|全州县| |县| |XIAN| |103|0|6
4503|450325|兴安县| |县| |XIAN| |103|0|6
4503|450326|永福县| |县| |XIAN| |103|0|6
4503|450327|灌阳县| |县| |XIAN| |103|0|6
4503|450328|龙胜县| |县| |XIAN| |103|0|6
4503|450329|资源县| |县| |XIAN| |103|0|6
4503|450330|平乐县| |县| |XIAN| |103|0|6
4503|450331|荔蒲县| |县| |XIAN| |103|0|6
4503|450332|恭城县| |县| |XIAN| |103|0|6
4504|450403|万秀区| |县| |XIAN| |103|0|6
4504|450404|蝶山区| |县| |XIAN| |103|0|6
4504|450405|长洲区| |县| |XIAN| |103|0|6
4504|450421|苍梧县| |县| |XIAN| |103|0|6
4504|450422|藤县| |县| |XIAN| |103|0|6
4504|450423|蒙山县| |县| |XIAN| |103|0|6
4504|450481|岑溪市| |县| |XIAN| |103|0|6
4505|450502|海城区| |县| |XIAN| |103|0|6
4505|450503|银海区| |县| |XIAN| |103|0|6
4505|450512|铁山港区| |县| |XIAN| |103|0|6
4505|450521|合浦县| |县| |XIAN| |103|0|6
4506|450602|港口区| |县| |XIAN| |103|0|6
4506|450603|防城区| |县| |XIAN| |103|0|6
4506|450621|上思县| |县| |XIAN| |103|0|6
4506|450681|东兴市| |县| |XIAN| |103|0|6
4507|450702|钦南区| |县| |XIAN| |103|0|6
4507|450703|钦北区| |县| |XIAN| |103|0|6
4507|450721|灵山县| |县| |XIAN| |103|0|6
4507|450722|浦北县| |县| |XIAN| |103|0|6
4508|450802|港北区| |县| |XIAN| |103|0|6
4508|450803|港南区| |县| |XIAN| |103|0|6
4508|450804|覃塘区| |县| |XIAN| |103|0|6
4508|450821|平南县| |县| |XIAN| |103|0|6
4508|450881|桂平市| |县| |XIAN| |103|0|6
4509|450902|玉州区| |县| |XIAN| |103|0|6
4509|450903|福绵区| |县| |XIAN| |103|0|6
4509|450921|容县| |县| |XIAN| |103|0|6
4509|450922|陆川县| |县| |XIAN| |103|0|6
4509|450923|博白县| |县| |XIAN| |103|0|6
4509|450924|兴业县| |县| |XIAN| |103|0|6
4509|450981|北流市| |县| |XIAN| |103|0|6
4510|451002|右江区| |县| |XIAN| |103|0|6
4510|451021|田阳县| |县| |XIAN| |103|0|6
4510|451022|田东县| |县| |XIAN| |103|0|6
4510|451023|平果县| |县| |XIAN| |103|0|6
4510|451024|德保县| |县| |XIAN| |103|0|6
4510|451025|靖西县| |县| |XIAN| |103|0|6
4510|451026|那坡县| |县| |XIAN| |103|0|6
4510|451027|凌云县| |县| |XIAN| |103|0|6
4510|451028|乐业县| |县| |XIAN| |103|0|6
4510|451029|田林县| |县| |XIAN| |103|0|6
4510|451030|西林县| |县| |XIAN| |103|0|6
4510|451031|隆林县| |县| |XIAN| |103|0|6
4511|451101|平桂区| |县| |XIAN| |103|0|6
4511|451102|八步区| |县| |XIAN| |103|0|6
4511|451121|昭平县| |县| |XIAN| |103|0|6
4511|451122|钟山县| |县| |XIAN| |103|0|6
4511|451123|富川县| |县| |XIAN| |103|0|6
4512|451202|金城江区| |县| |XIAN| |103|0|6
4512|451221|南丹县| |县| |XIAN| |103|0|6
4512|451222|天峨县| |县| |XIAN| |103|0|6
4512|451223|凤山县| |县| |XIAN| |103|0|6
4512|451224|东兰县| |县| |XIAN| |103|0|6
4512|451225|罗城县| |县| |XIAN| |103|0|6
4512|451226|环江县| |县| |XIAN| |103|0|6
4512|451227|巴马县| |县| |XIAN| |103|0|6
4512|451228|都安县| |县| |XIAN| |103|0|6
4512|451229|大化县| |县| |XIAN| |103|0|6
4512|451281|宜州市| |县| |XIAN| |103|0|6
4513|451302|兴宾区| |县| |XIAN| |103|0|6
4513|451321|忻城县| |县| |XIAN| |103|0|6
4513|451322|象州县| |县| |XIAN| |103|0|6
4513|451323|武宣县| |县| |XIAN| |103|0|6
4513|451324|金秀县| |县| |XIAN| |103|0|6
4513|451381|合山市| |县| |XIAN| |103|0|6
4514|451402|江洲区| |县| |XIAN| |103|0|6
