 |14|山西省|省|
14|1423|吕梁市|市|
1423|142330|方山县|县|
1423|142303|汾阳市|县|
1423|142323|交城县|县|
1423|142333|交口县|县|
1423|142329|岚县|县|
1423|142326|临县|县|
1423|142327|柳林县|县|
1423|142328|石楼县|县|
1423|142322|文水县|县|
1423|142301|孝义市|县|
1423|142325|兴县|县|
1423|142332|中阳县|县|
142330|142330001|马坊镇|乡|
142330|142330002|积翠乡|乡|
142330|142330003|麻地会乡|乡|
142330|142330004|圪洞镇|乡|
142330|142330005|峪口镇|乡|
142330|142330006|北武当镇|乡|
142330|142330007|大武镇|乡|
142303|142303001|峪道河镇|乡|
142303|142303002|杏花村镇|乡|
142303|142303003|冀村镇|乡|
142303|142303004|石庄镇|乡|
142303|142303005|杨家庄镇|乡|
142303|142303006|栗家庄乡|乡|
142303|142303007|西河乡|乡|
142303|142303008|文峰办事处|乡|
142303|142303009|太和桥办事处|乡|
142303|142303010|贾家庄镇|乡|
142303|142303011|肖家庄镇|乡|
142303|142303012|三泉镇|乡|
142303|142303013|阳城乡|乡|
142303|142303014|演武镇|乡|
142323|142323001|庞泉沟镇|乡|
142323|142323002|东坡底乡|乡|
142323|142323003|会立乡|乡|
142323|142323004|水峪贯镇|乡|
142323|142323005|西社镇|乡|
142323|142323006|洪相乡|乡|
142323|142323007|岭底乡|乡|
142323|142323008|夏家营镇|乡|
142323|142323009|天宁镇|乡|
142323|142323010|西营镇|乡|
142333|142333001|温泉乡|乡|
142333|142333002|桃红坡镇|乡|
142333|142333003|水头镇|乡|
142333|142333004|双池镇|乡|
142333|142333005|石口乡|乡|
142333|142333006|回龙乡|乡|
142333|142333007|康城镇|乡|
142329|142329001|顺会乡|乡|
142329|142329002|大蛇头乡|乡|
142329|142329003|社科乡|乡|
142329|142329004|界河口镇|乡|
142329|142329005|梁家庄乡|乡|
142329|142329006|王狮乡|乡|
142329|142329007|普明镇|乡|
142329|142329008|东村镇|乡|
142329|142329009|岚城镇|乡|
142329|142329010|河口乡|乡|
142329|142329011|上明乡|乡|
142329|142329012|土峪乡|乡|
142326|142326001|八堡乡|乡|
142326|142326002|雷家碛乡|乡|
142326|142326003|青凉寺乡|乡|
142326|142326004|白文镇|乡|
142326|142326005|城庄镇|乡|
142326|142326006|克虎镇|乡|
142326|142326007|兔坂镇|乡|
142326|142326008|临泉镇|乡|
142326|142326009|曲峪镇|乡|
142326|142326010|石白头乡|乡|
142326|142326011|安家庄乡|乡|
142326|142326012|安业乡|乡|
142326|142326013|木瓜坪乡|乡|
142326|142326014|玉坪乡|乡|
142326|142326015|丛罗峪镇|乡|
142326|142326016|刘家会镇|乡|
142326|142326017|大禹乡|乡|
142326|142326018|三交镇|乡|
142326|142326019|车赶乡|乡|
142326|142326020|湍水头镇|乡|
142326|142326021|碛口镇|乡|
142326|142326022|林家坪镇|乡|
142326|142326023|招贤镇|乡|
142327|142327001|王家沟乡|乡|
142327|142327002|孟门镇|乡|
142327|142327003|成家庄镇|乡|
142327|142327004|贾家垣乡|乡|
142327|142327005|柳林镇|乡|
142327|142327006|李家湾乡|乡|
142327|142327007|石西乡|乡|
142327|142327008|薛村镇|乡|
142327|142327009|穆村镇|乡|
142327|142327010|高家沟乡|乡|
142327|142327011|庄上镇|乡|
142327|142327012|陈家湾乡|乡|
142327|142327013|金家庄乡|乡|
142327|142327014|三交镇|乡|
142327|142327015|留誉镇|乡|
142328|142328001|曹家垣乡|乡|
142328|142328002|裴沟乡|乡|
142328|142328003|小蒜镇|乡|
142328|142328004|义牒镇|乡|
142328|142328005|龙交乡|乡|
142328|142328006|前山乡|乡|
142328|142328007|灵泉镇|乡|
142328|142328008|罗村镇|乡|
142328|142328009|和合乡|乡|
142322|142322001|开栅镇|乡|
142322|142322002|西城乡|乡|
142322|142322003|南庄镇|乡|
142322|142322004|南安镇|乡|
142322|142322005|凤城镇|乡|
142322|142322006|南武乡|乡|
142322|142322007|刘胡兰镇|乡|
142322|142322008|马西乡|乡|
142322|142322009|孝义镇|乡|
142322|142322010|北张乡|乡|
142322|142322011|下曲镇|乡|
142322|142322012|西槽头乡|乡|
142301|142301001|杜村乡|乡|
142301|142301002|南阳乡|乡|
142301|142301003|下堡镇|乡|
142301|142301004|兑镇镇|乡|
142301|142301005|高阳镇|乡|
142301|142301006|新义办|乡|
142301|142301007|中阳楼办|乡|
142301|142301008|振兴办|乡|
142301|142301009|阳泉曲镇|乡|
142301|142301010|西辛庄镇|乡|
142301|142301011|柱濮镇|乡|
142301|142301012|驿马乡|乡|
142301|142301013|东许办|乡|
142301|142301014|梧桐镇|乡|
142301|142301015|下栅乡|乡|
142301|142301016|大孝堡乡|乡|
142301|142301017|胜溪湖街道办事处|乡|
142301|142301018|崇文街道办事处|乡|
142325|142325001|瓦塘镇|乡|
142325|142325002|魏家滩镇|乡|
142325|142325003|高家村镇|乡|
142325|142325004|蔡家崖乡|乡|
142325|142325005|蔚汾镇|乡|
142325|142325006|奥家湾乡|乡|
142325|142325007|恶虎滩乡|乡|
142325|142325008|交楼申乡|乡|
142325|142325009|罗峪口镇|乡|
142325|142325010|赵家坪乡|乡|
142325|142325011|孟家坪乡|乡|
142325|142325012|康宁镇|乡|
142325|142325013|固贤乡|乡|
142325|142325014|东会乡|乡|
142325|142325015|圪达上乡|乡|
142325|142325016|蔡家会镇|乡|
142325|142325017|贺家会乡|乡|
142332|142332001|金罗镇|乡|
142332|142332002|张子山乡|乡|
142332|142332003|下枣林乡|乡|
